,Zip Code,Publication Name,ULCS Code,Income,Denom,Num,Graduation Percent,StudentEnrollment,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,BlackAACount,BlackAAPCT,WhiteCount,WhitePCT,EconDisadvRate,OtherRaceCount,OtherRacePCT,Number of Graduates,First-Fall Matriculation Rate
0,19132,Richard R. Wright School,4470,26041,,,,,,,,,,,,,,,,,,,,,
1,19132,TECH Freire Charter School,3441,26041,,,,,,,,,,,,,,,,,,,,,
2,19132,Murrell Dobbins Career and Technical High School,4060,26041,195.0,158,81.03,774.0,182.0,23.51,592.0,76.49,408.0,52.71,366.0,47.29,692.0,89.41,7.0,0.9,100.0,75.0,9.69,158.0,25.95
3,19132,E. Washington Rhodes School,4350,26041,,,,,,,,,,,,,,,,,,,,,
4,19132,Thomas M. Peirce School,4380,26041,,,,,,,,,,,,,,,,,,,,,
5,19132,Dr. Ethel Allen School,4440,26041,,,,,,,,,,,,,,,,,,,,,
6,19132,KIPP North Philadelphia Charter School,3437,26041,,,,,,,,,,,,,,,,,,,,,
7,19132,YESPhilly,8450,26041,52.0,2,3.85,126.0,13.0,10.32,113.0,89.68,71.0,56.35,55.0,43.65,115.0,91.27,3.0,2.38,100.0,8.0,6.35,,
8,19132,KIPP Philadelphia Charter School,3370,26041,,,,,,,,,,,,,,,,,,,,,
22,19140,Mastery Charter School at Cleveland,3420,27006,,,,,,,,,,,,,,,,,,,,,
23,19140,Thomas A. Edison High School,5020,27006,285.0,156,54.74,897.0,270.0,30.1,627.0,69.9,431.0,48.05,465.0,51.84,271.0,30.21,12.0,1.34,100.0,612.0,68.23,169.0,17.16
24,19140,Mastery Prep Elementary Charter School,3439,27006,,,,,,,,,,,,,,,,,,,,,
25,19140,Esperanza Academy Charter School,3333,27006,,,,,,,,,,,,,,,,,,,,,
29,19140,Edward T. Steel School,6390,27006,,,,,,,,,,,,,,,,,,,,,
27,19140,The LINC,5660,27006,31.0,25,80.65,228.0,41.0,17.98,187.0,82.02,113.0,49.56,115.0,50.44,84.0,36.84,9.0,3.95,100.0,135.0,59.21,28.0,17.86
28,19140,Crossroads at Hunting Park,3190,27006,,,,,,,,,,,,,,,,,,,,,
21,19140,Laboratory Charter School of Communication and Languages,3310,27006,,,,,,,,,,,,,,,,,,,,,
26,19140,Antonia Pantoja Charter School,3395,27006,,,,,,,,,,,,,,,,,,,,,
20,19140,Kenderton Elementary School,4360,27006,,,,,,,,,,,,,,,,,,,,,
16,19140,Philadelphia Learning Academy North,8470,27006,27.0,1,3.7,88.0,20.0,22.73,68.0,77.27,32.0,36.36,56.0,63.64,71.0,80.68,0.0,0.0,100.0,17.0,19.32,,
18,19140,Alexander K. McClure School,7380,27006,,,,,,,,,,,,,,,,,,,,,
17,19140,Multicultural Academy Charter School,3312,27006,,,,,,,,,,,,,,,,,,,,,
15,19140,Mastery Charter School at Gratz,3416,27006,,,,,,,,,,,,,,,,,,,,,
14,19140,Honorable Luis Munoz-Marin School,5680,27006,,,,,,,,,,,,,,,,,,,,,
13,19140,Roberto Clemente School,7730,27006,,,,,,,,,,,,,,,,,,,,,
12,19140,William Cramp School,5470,27006,,,,,,,,,,,,,,,,,,,,,
11,19140,Bayard Taylor School,7440,27006,,,,,,,,,,,,,,,,,,,,,
10,19140,Achieve Academy East,3820,27006,2.0,s,s,55.0,5.0,9.09,50.0,90.91,21.0,38.18,34.0,61.82,37.0,67.27,0.0,0.0,100.0,18.0,32.73,,
9,19140,Mary M. Bethune School,7510,27006,,,,,,,,,,,,,,,,,,,,,
19,19140,Cayuga School,5490,27006,,,,,,,,,,,,,,,,,,,,,
35,19133,Isaac A. Sheppard School,5410,27811,,,,,,,,,,,,,,,,,,,,,
38,19133,John F. Hartranft School,5320,27811,,,,,,,,,,,,,,,,,,,,,
37,19133,William H. Hunter School,5330,27811,,,,,,,,,,,,,,,,,,,,,
34,19133,Mastery Charter School at Clymer,3415,27811,,,,,,,,,,,,,,,,,,,,,
36,19133,Potter-Thomas School,5390,27811,,,,,,,,,,,,,,,,,,,,,
32,19133,Julia de Burgos School,5170,27811,,,,,,,,,,,,,,,,,,,,,
31,19133,One Bright Ray - Fairhill Campus,8190,27811,103.0,11,10.68,261.0,27.0,10.34,234.0,89.66,134.0,51.34,127.0,48.66,108.0,41.38,5.0,1.92,0.61,148.0,56.71,,
30,19133,John Welsh School,5420,27811,,,,,,,,,,,,,,,,,,,,,
33,19133,Pan American Academy Charter School,3394,27811,,,,,,,,,,,,,,,,,,,,,
55,19121,One Bright Ray Mansion,8860,29691,53.0,6,11.32,105.0,14.0,13.33,91.0,86.67,64.0,60.95,41.0,39.05,92.0,87.62,0.0,0.0,100.0,13.0,12.38,,
54,19121,William D. Kelley School,4560,29691,,,,,,,,,,,,,,,,,,,,,
52,19121,Strawberry Mansion High School,4140,29691,3.0,s,s,249.0,108.0,43.37,141.0,56.63,116.0,46.59,130.0,52.21,230.0,92.37,5.0,2.01,100.0,14.0,5.62,2.0,0.0
51,19121,One Bright Ray Mansion Evening,8870,29691,82.0,34,41.46,79.0,3.0,3.8,76.0,96.2,66.0,83.54,13.0,16.46,70.0,88.61,1.0,1.27,0.0,8.0,10.13,,
50,19121,Robert Morris School,2390,29691,,,,,,,,,,,,,,,,,,,,,
49,19121,Edward Gideon School,4530,29691,,,,,,,,,,,,,,,,,,,,,
48,19121,El Centro de Estudiantes (Big Picture),3510,29691,69.0,11,15.94,100.0,9.0,9.0,91.0,91.0,49.0,49.0,51.0,51.0,52.0,52.0,7.0,7.0,1.6,41.0,41.0,,
47,19121,Vaux High School: A Big Picture,5180,29691,100.0,87,87,305.0,79.0,25.9,226.0,74.1,157.0,51.48,148.0,48.52,273.0,89.51,2.0,0.66,1.05,30.0,9.84,94.0,36.17
53,19121,Excel Academy North,8080,29691,69.0,11,15.94,208.0,33.0,15.87,175.0,84.13,125.0,60.1,83.0,39.9,191.0,91.83,4.0,1.92,100.0,13.0,6.25,,
45,19121,General George G. Meade School,4570,29691,,,,,,,,,,,,,,,,,,,,,
44,19121,James G. Blaine School,4220,29691,,,,,,,,,,,,,,,,,,,,,
43,19121,William Dick School,4270,29691,,,,,,,,,,,,,,,,,,,,,
42,19121,Alliance For Progress Charter School,3315,29691,,,,,,,,,,,,,,,,,,,,,
41,19121,Tanner G. Duckrey School,4460,29691,,,,,,,,,,,,,,,,,,,,,
40,19121,Mastery Charter School at Douglass,3412,29691,,,,,,,,,,,,,,,,,,,,,
39,19121,High School of Engineering and Science,4030,29691,199.0,196,98.49,843.0,38.0,4.51,805.0,95.49,386.0,45.79,456.0,54.09,497.0,58.96,73.0,8.66,92.43,273.0,32.38,198.0,78.79
46,19121,Achieve Academy,2310,29691,10.0,5,50,50.0,5.0,10.0,45.0,90.0,28.0,56.0,22.0,44.0,46.0,92.0,0.0,0.0,100.0,4.0,8.0,,
67,19104,Inquiry Charter School,3308,30734,,,,,,,,,,,,,,,,,,,,,
66,19104,Sadie Alexander School,1280,30734,,,,,,,,,,,,,,,,,,,,,
65,19104,Excel Middle Years Academy,3040,30734,,,,,,,,,,,,,,,,,,,,,
64,19104,Morton McMichael School,1360,30734,,,,,,,,,,,,,,,,,,,,,
63,19104,Samuel Powel School,1390,30734,,,,,,,,,,,,,,,,,,,,,
62,19104,Belmont Charter School,3368,30734,,,,,,,,,,,,,,,,,,,,,
60,19104,Science Leadership Academy Middle School,2050,30734,,,,,,,,,,,,,,,,,,,,,
59,19104,Martha Washington School,1420,30734,,,,,,,,,,,,,,,,,,,,,
58,19104,Crossroads Accelerated Academy,8690,30734,4.0,s,s,58.0,8.0,13.79,50.0,86.21,29.0,50.0,29.0,50.0,53.0,91.38,1.0,1.72,100.0,4.0,6.9,,
57,19104,High School of the Future,1030,30734,148.0,125,84.46,560.0,138.0,24.64,422.0,75.36,277.0,49.46,282.0,50.36,517.0,92.32,6.0,1.07,100.0,37.0,6.6,133.0,35.34
56,19104,Paul Robeson High School for Human Services,1050,30734,81.0,78,96.3,291.0,59.0,20.27,232.0,79.73,160.0,54.98,131.0,45.02,278.0,95.53,2.0,0.69,100.0,11.0,3.78,79.0,39.24
61,19104,Philadelphia Learning Academy West,8460,30734,31.0,10,32.26,60.0,13.0,21.67,47.0,78.33,25.0,41.67,35.0,58.33,58.0,96.67,0.0,0.0,100.0,2.0,3.33,,
75,19139,West Philadelphia High School,1020,32531,102.0,71,69.61,601.0,202.0,33.61,399.0,66.39,275.0,45.76,326.0,54.24,530.0,88.19,6.0,1.0,100.0,62.0,10.32,81.0,35.8
78,19139,KIPP Octavius Catto Charter School,3436,32531,,,,,,,,,,,,,,,,,,,,,
77,19139,Middle Years Alternative School,1580,32531,,,,,,,,,,,,,,,,,,,,,
76,19139,Alain Locke School,1470,32531,,,,,,,,,,,,,,,,,,,,,
74,19139,James Rhoads School,1410,32531,,,,,,,,,,,,,,,,,,,,,
79,19139,Andrew Hamilton School,1290,32531,,,,,,,,,,,,,,,,,,,,,
72,19139,John Barry School,1200,32531,,,,,,,,,,,,,,,,,,,,,
71,19139,Henry C. Lea School,1340,32531,,,,,,,,,,,,,,,,,,,,,
70,19139,The Workshop School,8560,32531,53.0,41,77.36,189.0,56.0,29.63,133.0,70.37,61.0,32.28,128.0,67.72,173.0,91.53,2.0,1.06,100.0,14.0,7.42,42.0,35.71
69,19139,Phila. Juv. Justice Services Ctr.,2530,32531,41.0,1,2.44,210.0,96.0,45.71,114.0,54.29,24.0,11.43,186.0,88.57,174.0,82.86,6.0,2.86,13.71,30.0,14.29,,
68,19139,Parkway West High School,5090,32531,62.0,53,85.48,167.0,49.0,29.34,118.0,70.66,90.0,53.89,77.0,46.11,150.0,89.82,0.0,0.0,100.0,17.0,10.19,55.0,38.18
73,19139,William L. Sayre High School,1100,32531,104.0,74,71.15,426.0,159.0,37.32,267.0,62.68,205.0,48.12,221.0,51.88,385.0,90.38,3.0,0.7,100.0,38.0,8.92,85.0,23.53
88,19141,Julia W. Howe School,7320,34651,,,,,,,,,,,,,,,,,,,,,
87,19141,Prince Hall School,7490,34651,,,,,,,,,,,,,,,,,,,,,
85,19141,Philadelphia High School for Girls,6050,34651,135.0,125,92.59,724.0,39.0,5.39,685.0,94.61,715.0,98.76,1.0,0.14,489.0,67.54,32.0,4.42,100.0,203.0,28.04,125.0,76.0
84,19141,Central High School,6010,34651,600.0,593,98.83,2288.0,45.0,1.97,2243.0,98.03,1254.0,54.81,1021.0,44.62,489.0,21.37,631.0,27.58,86.5,1168.0,51.05,593.0,88.53
86,19141,Jay Cooke School,7100,34651,,,,,,,,,,,,,,,,,,,,,
82,19141,Joseph Pennell School,6340,34651,,,,,,,,,,,,,,,,,,,,,
81,19141,James Logan School,6300,34651,,,,,,,,,,,,,,,,,,,,,
80,19141,Widener Memorial School,6400,34651,13.0,3,23.08,137.0,130.0,94.89,7.0,5.11,53.0,38.69,84.0,61.31,63.0,45.99,18.0,13.14,100.0,56.0,40.88,12.0,8.33
83,19141,Lindley Academy Charter at Birney,3419,34651,,,,,,,,,,,,,,,,,,,,,
89,19144,Anna L. Lingelbach School,6440,37322,,,,,,,,,,,,,,,,,,,,,
90,19144,Wissahickon Charter School,3362,37322,,,,,,,,,,,,,,,,,,,,,
91,19144,Theodore Roosevelt School,6360,37322,,,,,,,,,,,,,,,,,,,,,
92,19144,Mastery Charter School at Wister,3427,37322,,,,,,,,,,,,,,,,,,,,,
93,19144,Fitler Academics Plus School,6230,37322,,,,,,,,,,,,,,,,,,,,,
94,19144,John B. Kelly School,6470,37322,,,,,,,,,,,,,,,,,,,,,
95,19144,Mastery Charter School at Pickett,3393,37322,,,,,,,,,,,,,,,,,,,,,
101,19142,One Bright Ray - Elmwood Campus,3810,37621,44.0,4,9.09,126.0,12.0,9.52,114.0,90.48,62.0,49.21,64.0,50.79,121.0,96.03,0.0,0.0,0.0,5.0,3.97,,
103,19142,Joseph W. Catharine School,1250,37621,,,,,,,,,,,,,,,,,,,,,
102,19142,Southwest Leadership Academy Charter School,3392,37621,,,,,,,,,,,,,,,,,,,,,
100,19142,John M. Patterson School,1400,37621,,,,,,,,,,,,,,,,,,,,,
98,19142,Philadelphia Montessori Charter School,3378,37621,,,,,,,,,,,,,,,,,,,,,
97,19142,John Bartram High School,1010,37621,157.0,114,72.61,526.0,129.0,24.52,397.0,75.48,241.0,45.82,284.0,53.99,405.0,77.0,1.0,0.19,100.0,120.0,22.81,120.0,25.83
96,19142,William T. Tilden School,1130,37621,,,,,,,,,,,,,,,,,,,,,
99,19142,Thomas G. Morton School,1380,37621,,,,,,,,,,,,,,,,,,,,,
111,19134,Lewis Elkin School,5260,37821,,,,,,,,,,,,,,,,,,,,,
114,19134,Richmond School,5400,37821,,,,,,,,,,,,,,,,,,,,,
113,19134,Frances E. Willard School,5440,37821,,,,,,,,,,,,,,,,,,,,,
112,19134,"Stetson, John B. Middle School",5580,37821,,,,,,,,,,,,,,,,,,,,,
110,19134,Stetson Middle School Continuation Academy,5581,37821,,,,,,,,,,,,,,,,,,,,,
109,19134,Russell H. Conwell School,5230,37821,,,,,,,,,,,,,,,,,,,,,
108,19134,Jules E. Mastbaum Area Vocational Technical High School,5060,37821,105.0,77,73.33,591.0,148.0,25.04,443.0,74.96,260.0,43.99,330.0,55.84,255.0,43.15,27.0,4.57,100.0,309.0,52.28,79.0,20.25
107,19134,John H. Webster School,5590,37821,,,,,,,,,,,,,,,,,,,,,
106,19134,Gloria Casarez Elementary School,5530,37821,,,,,,,,,,,,,,,,,,,,,
105,19134,Memphis Street Academy Charter School at J.P. Jones,3423,37821,,,,,,,,,,,,,,,,,,,,,
104,19134,Deep Roots Charter School,3438,37821,,,,,,,,,,,,,,,,,,,,,
126,19124,Excel Academy South,3290,38293,156.0,14,8.97,207.0,38.0,18.36,169.0,81.64,85.0,41.06,122.0,58.94,100.0,48.31,25.0,12.08,100.0,82.0,39.62,,
127,19124,Community Academy of Philadelphia Charter School,3301,38293,,,,,,,,,,,,,,,,,,,,,
128,19124,One Bright Ray Simpson - Evening,8891,38293,21.0,s,s,131.0,8.0,6.11,123.0,93.89,101.0,77.1,30.0,22.9,53.0,40.46,7.0,5.34,0.0,71.0,54.2,,
125,19124,Mastery Charter School at Smedley,3409,38293,,,,,,,,,,,,,,,,,,,,,
131,19124,One Bright Ray - Simpson Campus,8890,38293,101.0,11,10.89,267.0,32.0,11.99,235.0,88.01,123.0,46.07,144.0,53.93,102.0,38.2,10.0,3.75,0.0,155.0,58.05,,
130,19124,Mariana Bracetti Academy Charter School,3332,38293,,,,,,,,,,,,,,,,,,,,,
129,19124,Northwood Academy Charter School,3386,38293,,,,,,,,,,,,,,,,,,,,,
124,19124,Frankford High School,7010,38293,233.0,131,56.22,861.0,51.0,5.92,810.0,94.08,359.0,41.7,502.0,58.3,347.0,40.3,53.0,6.16,100.0,461.0,53.54,151.0,21.85
116,19124,Samuel Fels High School,7120,38293,235.0,156,66.38,1238.0,226.0,18.26,1012.0,81.74,574.0,46.37,664.0,53.63,475.0,38.37,49.0,3.96,100.0,714.0,57.66,166.0,27.71
122,19124,The Philadelphia Charter School for Arts and Sciences,3422,38293,,,,,,,,,,,,,,,,,,,,,
121,19124,James J. Sullivan School,7430,38293,,,,,,,,,,,,,,,,,,,,,
120,19124,John Marshall School,7360,38293,,,,,,,,,,,,,,,,,,,,,
119,19124,Francis Hopkinson School,7300,38293,,,,,,,,,,,,,,,,,,,,,
118,19124,First Philadelphia Preparatory Charter School,3364,38293,,,,,,,,,,,,,,,,,,,,,
117,19124,Allen M. Stearne School,7290,38293,,,,,,,,,,,,,,,,,,,,,
115,19124,Warren G. Harding School,7110,38293,,,,,,,,,,,,,,,,,,,,,
123,19124,Juniata Park Academy,7150,38293,,,,,,,,,,,,,,,,,,,,,
144,19143,Add B. Anderson School,1460,38928,,,,,,,,,,,,,,,,,,,,,
143,19143,Richard Allen Preparatory Charter School,3359,38928,,,,,,,,,,,,,,,,,,,,,
142,19143,Mastery Charter School at Hardy Williams,3323,38928,,,,,,,,,,,,,,,,,,,,,
140,19143,Mastery Charter School at Harrity,3407,38928,,,,,,,,,,,,,,,,,,,,,
139,19143,Independence Charter School West,3442,38928,,,,,,,,,,,,,,,,,,,,,
138,19143,Global Leadership Academy at Huey,3428,38928,,,,,,,,,,,,,,,,,,,,,
141,19143,Boys Latin of Philadelphia Charter School,3388,38928,,,,,,,,,,,,,,,,,,,,,
136,19143,William C. Bryant School,1230,38928,,,,,,,,,,,,,,,,,,,,,
135,19143,Benjamin B. Comegys School,1260,38928,,,,,,,,,,,,,,,,,,,,,
134,19143,William C. Longstreth School,1350,38928,,,,,,,,,,,,,,,,,,,,,
133,19143,Avery D. Harrington School,1300,38928,,,,,,,,,,,,,,,,,,,,,
132,19143,S. Weir Mitchell School,1370,38928,,,,,,,,,,,,,,,,,,,,,
137,19143,Motivation High School,1190,38928,81.0,76,93.83,239.0,42.0,17.57,197.0,82.43,114.0,47.7,124.0,51.88,221.0,92.47,2.0,0.84,100.0,16.0,6.7,79.0,44.3
156,19131,Mastery Charter School at Shoemaker,3383,42309,,,,,,,,,,,,,,,,,,,,,
155,19131,Mastery Charter School at Mann,3408,42309,,,,,,,,,,,,,,,,,,,,,
154,19131,Discovery Charter School,3372,42309,,,,,,,,,,,,,,,,,,,,,
153,19131,KIPP DuBois Charter School,3353,42309,,,,,,,,,,,,,,,,,,,,,
152,19131,Rudolph Blankenburg School,1490,42309,,,,,,,,,,,,,,,,,,,,,
151,19131,The Science Leadership Academy at Beeber,2680,42309,107.0,103,96.26,558.0,33.0,5.91,525.0,94.09,276.0,49.46,281.0,50.36,425.0,76.16,56.0,10.04,86.88,77.0,13.8,104.0,75.0
149,19131,Samuel Gompers School,4280,42309,,,,,,,,,,,,,,,,,,,,,
148,19131,Guion S. Bluford Elementary School,4520,42309,,,,,,,,,,,,,,,,,,,,,
147,19131,KIPP West Philadelphia Charter School,3443,42309,,,,,,,,,,,,,,,,,,,,,
146,19131,Edward Heston School,4300,42309,,,,,,,,,,,,,,,,,,,,,
145,19131,Overbrook High School,4020,42309,99.0,71,71.72,394.0,89.0,22.59,305.0,77.41,190.0,48.22,204.0,51.78,354.0,89.85,2.0,0.51,100.0,38.0,9.65,73.0,19.18
150,19131,Global Leadership Academy Charter School,3337,42309,,,,,,,,,,,,,,,,,,,,,
162,19122,Philadelphia Military Academy,5050,43981,65.0,60,92.31,320.0,117.0,36.56,203.0,63.44,119.0,37.19,201.0,62.81,202.0,63.13,10.0,3.13,100.0,108.0,33.75,61.0,31.15
163,19122,James R. Ludlow School,5340,43981,,,,,,,,,,,,,,,,,,,,,
161,19122,William McKinley School,5350,43981,,,,,,,,,,,,,,,,,,,,,
164,19122,Paul L. Dunbar School,5250,43981,,,,,,,,,,,,,,,,,,,,,
159,19122,Kensington High School for Creative and Performing Arts,5520,43981,130.0,94,72.31,503.0,135.0,26.84,368.0,73.16,276.0,54.87,227.0,45.13,171.0,34.0,27.0,5.37,100.0,305.0,60.64,101.0,21.78
